year,geography,cities,population_weighted_total_opportunity,area_weighted_total_opportunity,population_weighted_cross_city_opportunity,area_weighted_cross_city_opportunity,population_weighted_coverage,area_weighted_coverage,population_denominator,area_denominator_m2
2017,D_equal_city,3,114722.41164471395,13529.667265426579,13150.83355983476,2063.0608511527525,0.10168283221613857,0.01776019735909065,38250058.61750648,12603368843.663498
2017,Dongguan,1,3208.989539000051,1387.7783293535792,0.0,0.0,0.0288435948157071,0.012522120415940368,10532289.192640668,2255948631.3070087
2017,Foshan,1,33459.325092091785,6084.473500884494,28025.73052472402,5072.918658811552,0.03996860485633511,0.007527703225270937,9678873.784230271,3598363238.0669346
2017,Guangzhou,1,307498.92030305,33116.749966041665,11426.77015478026,1116.263894646706,0.23623629697637347,0.03323076843606065,18038895.640635543,6749056974.289554
2018,D_equal_city,3,119905.53790615713,14293.286561915958,13715.188686379486,2158.0178976986936,0.10483090727157503,0.018797104535626632,38250058.61750648,12603368843.663498
2018,Dongguan,1,3208.989539000051,1387.7783293535792,0.0,0.0,0.0288435948157071,0.012522120415940368,10532289.192640668,2255948631.3070087
2018,Foshan,1,34578.11782485329,6290.425992325402,29144.523257485514,5278.87115025246,0.03996860485633511,0.007527703225270937,9678873.784230271,3598363238.0669346
2018,Guangzhou,1,321929.50635461806,35201.655364068894,12001.042801652946,1195.1825428436205,0.24568052214268285,0.03634148996566859,18038895.640635543,6749056974.289554
2019,D_equal_city,3,125772.31632946101,15272.617904099008,13975.056260861247,2198.2589614803396,0.10971636212787737,0.020466872178921885,38250058.61750648,12603368843.663498
2019,Dongguan,1,3208.989539000051,1387.7783293535792,0.0,0.0,0.0288435948157071,0.012522120415940368,10532289.192640668,2255948631.3070087
2019,Foshan,1,35259.98706218133,6463.810912450915,29664.195615733785,5368.477616552504,0.04587560625781814,0.010722881103833189,9678873.784230271,3598363238.0669346
2019,Guangzhou,1,338847.9723872017,37966.264470492526,12260.973166849963,1226.2992678885146,0.25442988531010685,0.0381556150169921,18038895.640635543,6749056974.289554
2020,D_equal_city,3,136183.01986004828,16792.93018281354,14628.200781179303,2308.5417715995027,0.11485871539592309,0.02186212883515391,38250058.61750648,12603368843.663498
2020,Dongguan,1,3208.989539000051,1387.7783293535792,0.0,0.0,0.0288435948157071,0.012522120415940368,10532289.192640668,2255948631.3070087
2020,Foshan,1,36616.20883581307,6711.1955058688745,31020.417389365528,5615.8622099704635,0.04587560625781814,0.010722881103833189,9678873.784230271,3598363238.0669346
2020,Guangzhou,1,368723.8612053317,42279.81671321817,12864.18495417238,1309.7631048280448,0.269856945114244,0.04234138498568817,18038895.640635543,6749056974.289554
2021,D_equal_city,3,149092.50598632987,19595.97789157693,21879.66407431038,3954.686927309355,0.1254229733674006,0.024982861161136505,38250058.61750648,12603368843.663498
2021,Dongguan,1,3208.989539000051,1387.7783293535792,0.0,0.0,0.0288435948157071,0.012522120415940368,10532289.192640668,2255948631.3070087
2021,Foshan,1,59939.46915020021,13026.755629857422,45140.164318701325,9707.327736467018,0.07515527930103667,0.0191709176344587,9678873.784230271,3598363238.0669346
2021,Guangzhou,1,384129.0592697893,44373.399715519794,20498.827904229824,2156.733045461048,0.27227004598545806,0.04325554543301046,18038895.640635543,6749056974.289554
2022,D_equal_city,3,161851.687551272,22913.488930845848,28582.662759435272,5818.35704731326,0.13723647405270684,0.029028732796269552,38250058.61750648,12603368843.663498
2022,Dongguan,1,3208.989539000051,1387.7783293535792,0.0,0.0,0.0288435948157071,0.012522120415940368,10532289.192640668,2255948631.3070087
2022,Foshan,1,84208.23475276366,21176.199308005565,58375.5467011702,14449.14156358162,0.10884979996382331,0.03086402599450958,9678873.784230271,3598363238.0669346
2022,Guangzhou,1,398137.83836205234,46176.4891551784,27372.44157713561,3005.929578358163,0.2740160273785901,0.04370005197835872,18038895.640635543,6749056974.289554
2023,D_equal_city,3,166669.37998806857,24096.70631713756,28975.328062467994,5948.392331085412,0.13943510179173438,0.029741450199677794,38250058.61750648,12603368843.663498
2023,Dongguan,1,3208.989539000051,1387.7783293535792,0.0,0.0,0.0288435948157071,0.012522120415940368,10532289.192640668,2255948631.3070087
2023,Foshan,1,85009.8711325746,21436.433095808217,59177.18308098113,14709.375351384277,0.10884979996382331,0.03086402599450958,9678873.784230271,3598363238.0669346
2023,Guangzhou,1,411789.2792926311,49465.90752625087,27748.801106422863,3135.8016418719585,0.28061191059567275,0.04583820418858344,18038895.640635543,6749056974.289554
2024,D_equal_city,3,189604.11613878325,27862.537585622922,33726.05914274896,6931.231558402341,0.15050214760064073,0.03380767702725,38250058.61750648,12603368843.663498
2024,Dongguan,1,4486.89793226562,2142.085386726019,183.62889750765996,120.65850800891451,0.037846285814272664,0.018715564773335896,10532289.192640668,2255948631.3070087
2024,Foshan,1,99996.91837057778,25328.560744475417,68405.04446081781,16903.569989162188,0.11638289730285012,0.034060512188298135,9678873.784230271,3598363238.0669346
2024,Guangzhou,1,464328.5321135063,56116.96662566734,32589.50406992142,3769.4661780359206,0.29727725968479946,0.04864695412011598,18038895.640635543,6749056974.289554
