event_code,year,event_label,event_type,population_weighted_total_opportunity_contribution,area_weighted_total_opportunity_contribution,population_weighted_cross_city_opportunity_contribution,area_weighted_cross_city_opportunity_contribution,population_weighted_coverage_contribution,area_weighted_coverage_contribution,total_rank_desc,cross_city_rank_desc,coverage_rank_desc,contribution_type
P01,2018,Guangzhou Line 3 Airport North extension,line_section activation,0.0,0.0,0.0,0.0,0.0,0.0,27.0,24.0,25.0,structural_zero
P02,2018,Qingtang infill station passenger activation,station/transfer activation,144.38089772270308,33.4042259971548,1.040408425121016,0.1851903308995336,0.0001571577849852,4.9389616149806175e-05,23.0,22.0,24.0,coverage_and_cross_city_connectivity
P03,2018,Guangfo Metro Yangang-Lijiao extension,line_section activation,3522.2986828348658,389.68146774248936,522.3845734419848,87.28666886624796,0.0009482894456291,8.615706565221248e-05,9.0,8.0,13.0,coverage_and_cross_city_connectivity
P04,2018,Guangzhou Line 14 main line,line_section activation,1499.5031110419122,325.1948221045088,40.9301446776213,7.485187348793622,0.0014561095048491,0.0005309383736104,13.0,20.0,11.0,coverage_and_cross_city_connectivity
P05,2018,Guangzhou Line 21 eastern section,line_section activation,16.94356984373663,15.338780645229198,0.0,0.0,0.0005865183199729,0.0003704221211235,26.0,24.0,16.0,coverage_mainly_local
P06,2019,Guangzhou Line 21 western section,line_section activation,4340.052231412116,815.1781771292518,116.63214806019704,18.783894778482704,0.0027420594495518,0.0005926753937976,5.0,16.0,8.0,coverage_and_cross_city_connectivity
P07,2019,Guangzhou Line 8 Cultural Park extension,line_section activation,1472.6605655318197,136.22701377863834,143.2354264215662,21.457169003163127,0.0001743949395894,1.2032956643495266e-05,15.0,15.0,23.0,coverage_and_cross_city_connectivity
P08,2019,Foshan Gaoming Tram demonstration line,line_section activation,54.06562635992301,27.92615127515636,0.0,0.0,0.001969000467161,0.001065059292854,25.0,24.0,10.0,coverage_mainly_local
P09,2020,Huangpu Tram 1 first section,line_section activation,272.4594138663504,164.51874178319747,0.513523676784184,0.2461221315876239,0.0004701497734965,0.0004074643332359,22.0,23.0,19.0,coverage_and_cross_city_connectivity
P10,2020,Guangzhou Line 8 northern extension,line_section activation,9727.818445167291,1192.605241405561,648.8613777282908,109.13345005108108,0.0039538362552744,0.0005679805857227,2.0,7.0,5.0,coverage_and_cross_city_connectivity
P11,2020,Guangqing-Guangzhou East Ring through-running local intercity,multi-component service activation,107.06710822666923,35.62763958339335,0.0,0.0,0.0004870813295152,0.0002346006767115,24.0,24.0,18.0,coverage_mainly_local
P12,2020,Huangpu Tram 1 completion to Xiangxue,line_section activation,303.3585633269533,127.56065594238136,3.769618912978428,0.9032379364945128,0.0002312859097595,0.0001852110605617,21.0,21.0,22.0,coverage_and_cross_city_connectivity
P13,2021,Nanhai Tram 1 first section,line_section activation,3669.468062516069,738.9249767898391,2641.0118367765945,505.47751156578255,0.0034304573782756,0.0008794643063904,8.0,3.0,7.0,coverage_and_cross_city_connectivity
P14,2021,Guangzhou Line 18 first section,line_section activation,2656.866562569395,428.00683375211946,213.98778014879204,45.80990593500318,0.0007652720367205,0.0002800253410325,10.0,12.0,15.0,coverage_and_cross_city_connectivity
P15,2021,Foshan Metro Line 2 phase 1,line_section activation,6583.151501196109,1636.1158982214338,4396.463676205692,1094.857738209067,0.0063685285564813,0.0019612426785595,3.0,1.0,2.0,coverage_and_cross_city_connectivity
P16,2022,Guangzhou Line 22 first section,line_section activation,790.430269574661,178.0115098836807,175.54348029996876,46.71256289543216,0.0005819937977106,0.0001481688484494,18.0,13.0,17.0,coverage_and_cross_city_connectivity
P17,2022,Guangzhou Line 7 western extension,line_section activation,3954.9260519156887,1168.966228754903,3375.0689779757213,965.377206689573,0.0020322726504542,0.0008511653162303,7.0,2.0,9.0,coverage_and_cross_city_connectivity
P18,2022,Rainbow Bridge infill station activation,station/transfer activation,741.1668575691145,89.12296172611899,105.7532247052809,23.147142531149893,0.0,0.0,19.0,18.0,25.0,connectivity_without_new_coverage
P19,2022,Nanhai Tram 1 completion,line_section activation,638.8733477088315,282.1491710742061,455.6616029719076,198.02975766643405,0.0003385058198608,0.0002546397702609,20.0,9.0,21.0,coverage_and_cross_city_connectivity
P20,2022,Foshan Metro Line 3 first section,line_section activation,5363.172865178466,1455.9901823254104,2427.6741222326327,604.0770150262406,0.0088607284172804,0.0027918977001922,4.0,5.0,1.0,coverage_and_cross_city_connectivity
P21,2022,Xicun station and Line 5 transfer activation,station/transfer activation,1270.6121729954264,143.27098550459536,163.29727693937517,26.326435195075764,0.0,0.0,16.0,14.0,25.0,connectivity_without_new_coverage
P22,2023,Guangzhou Line 5 eastern extension,line_section activation,2262.8358918560275,392.4920727517612,61.18676643741315,15.508121891245144,0.00126770749411,0.000259198507357,12.0,19.0,12.0,coverage_and_cross_city_connectivity
P23,2023,Guangzhou Line 7 phase 2,line_section activation,2554.856544940516,790.7253135399442,331.47853659531876,114.5271618809049,0.0009309202449175,0.0004535188960511,11.0,11.0,14.0,coverage_and_cross_city_connectivity
P24,2024,Four-line Greater Bay Area local intercity integration,multi-component service activation,1489.9171732766008,657.2586516432542,370.485996772338,167.52858123303574,0.0037503405861292,0.0028657016596871,14.0,10.0,6.0,coverage_and_cross_city_connectivity
P25,2024,Gaoming Tram suspension,service suspension,-54.065626359923016,-27.92615127515637,0.0,0.0,-0.001969000467161,-0.001065059292854,28.0,24.0,29.0,negative_disruption
P26,2024,Foshan Metro Line 3 central and northern sections,multi-component service activation,4135.4541806393145,858.5683374601698,2495.2680402318397,433.908950436465,0.0041790422285368,0.0015515877562357,6.0,4.0,4.0,coverage_and_cross_city_connectivity
P27,2024,Guangzhou Line 3 eastern extension,line_section activation,848.4210487509772,234.45249144107876,110.94278460516551,34.77512612372408,0.0004293362221203,0.0001605162524868,17.0,17.0,20.0,coverage_and_cross_city_connectivity
P28,2024,Haizhu Tram Tower station section closure,station-section closure,-126.9992057017694,-18.28071420680134,-12.272591628395023,-3.017080072146907,0.0,0.0,29.0,29.0,25.0,negative_disruption
P29,2024,"Guangzhou Line 11 loop, Shahe activation and Line 21 topology reassignment",opening + topology reassignment,16642.008580109432,2061.758653422825,1786.306850300011,349.6436495958513,0.0046773272392809,0.0005534804520165,1.0,6.0,3.0,coverage_and_cross_city_connectivity
