event_code,event_id,event_time_cst,event_type,event_label,add_components,remove_components,joint_reason,source_urls,source_names,source_classes,source_local_statuses,verification_claims,verification_status,local_archive_status,topology_actions
P01,D2018_E01_GZ_M3_AIRPORT_NORTH,2018-04-26T00:00:00+08:00,line_section activation,Guangzhou Line 3 Airport North extension,GZ_M3_AIRPORT_NORTH,,single official activation,https://gzw.gz.gov.cn/zt/gzgz/content/post_2781834.html,Guangzhou SASAC,core event evidence,archived,Contemporaneous exact 2018-04-26 Airport North opening evidence,contemporaneous_official_primary_preferred_over_later_report_date_conflict,archived: Data/raw/transport/official_sources/d_date_scope/gz_m3_airport_north_20180426.html; sha256=4a35dc31122f36fa106d6b4d9ff5d41a7deac236652cf9cc36d69254db918847,add GZ_M3_AIRPORT_NORTH
P02,D2018_E02_GZ_M9_QINGTANG,2018-06-30T00:00:00+08:00,station/transfer activation,Qingtang infill station passenger activation,GZ_M9_QINGTANG,,single station activation,https://news.ycwb.com/2018-06/29/content_30037804.htm,Yangcheng Evening News carrying the operator timetable and opening notice,core event evidence,archived,Exact first-train passenger opening of the Line 9 Qingtang infill station,operator_timetable_in_contemporaneous_major_press,archived: Data/raw/transport/official_sources/d_date_scope/gz_m9_qingtang_opening_20180630_ycwb.html; sha256=2b4a4034af525959a225b21821a4510073aa35753fcbbabfcb03a77195b03c02,add GZ_M9_QINGTANG
P03,D2018_E03_GF_LIJIAO,2018-12-28T00:00:00+08:00,line_section activation,Guangfo Metro Yangang-Lijiao extension,GF_METRO_LIJIAO,,single official activation,https://www.gz.gov.cn/zfjgzy/gzsrmzfyjs/sfyjs/zfxxgkml/bmwj/qtwj/content/post_5510657.html,Guangzhou Municipal Government,core event evidence,archived,"2018 Line 3 airport, Line 14, Line 21 east and Guangfo Lijiao activations",official_municipal_2018_completion_report,archived: Data/raw/transport/official_sources/d_date_scope/gz_2018_completion_report.html; sha256=8d83a70960b361b27b6a603d1a0c3160673764f98595c4bb884ee890ed9add6d,add GF_METRO_LIJIAO
P04,D2018_E04_GZ_M14_MAIN,2018-12-28T00:00:00+08:00,line_section activation,Guangzhou Line 14 main line,GZ_M14_MAIN,,single official activation; kept separate from coincidental same-day routes,https://www.gz.gov.cn/zfjgzy/gzsrmzfyjs/sfyjs/zfxxgkml/bmwj/qtwj/content/post_5510657.html,Guangzhou Municipal Government,core event evidence,archived,"2018 Line 3 airport, Line 14, Line 21 east and Guangfo Lijiao activations",official_municipal_2018_completion_report,archived: Data/raw/transport/official_sources/d_date_scope/gz_2018_completion_report.html; sha256=8d83a70960b361b27b6a603d1a0c3160673764f98595c4bb884ee890ed9add6d,add GZ_M14_MAIN
P05,D2018_E05_GZ_M21_EAST,2018-12-28T00:00:00+08:00,line_section activation,Guangzhou Line 21 eastern section,GZ_M21_EAST,,single official activation; kept separate from coincidental same-day routes,https://www.gz.gov.cn/zfjgzy/gzsrmzfyjs/sfyjs/zfxxgkml/bmwj/qtwj/content/post_5510657.html,Guangzhou Municipal Government,core event evidence,archived,"2018 Line 3 airport, Line 14, Line 21 east and Guangfo Lijiao activations",official_municipal_2018_completion_report,archived: Data/raw/transport/official_sources/d_date_scope/gz_2018_completion_report.html; sha256=8d83a70960b361b27b6a603d1a0c3160673764f98595c4bb884ee890ed9add6d,add GZ_M21_EAST
P06,D2019_E01_GZ_M21_WEST,2019-12-20T00:00:00+08:00,line_section activation,Guangzhou Line 21 western section,GZ_M21_WEST,,single official activation,https://gzw.gz.gov.cn/qy/qydt/content/post_5464442.html,Guangzhou SASAC / Guangzhou Metro,core event evidence,archived,Line 21 west section operation start,official_primary,archived: Data/raw/transport/official_sources/d_date_scope/gz_m21_west_20191220.html; sha256=bb390a00f1796ab45711ed371b01ff97f3b621dbd60f51ad8fc4862ed59abe0f,add GZ_M21_WEST
P07,D2019_E02_GZ_M8_CULTURAL_PARK,2019-12-28T00:00:00+08:00,line_section activation,Guangzhou Line 8 Cultural Park extension,GZ_M8_CULTURAL_PARK,,single official activation,https://sthjj.gz.gov.cn/attachment/7/7510/7510809/9335300.pdf,Guangzhou Municipal Ecology and Environment Bureau,core event evidence,archived,Official retrospective Line 8 section-date history,official_environmental_report_section_history,archived: Data/raw/transport/official_sources/d_date_scope/gz_m8_official_eia_history.pdf; sha256=0d82386d6a6b477e4caacbf01c5f3123240d32dcda8f0700ddf5c111293894a4,add GZ_M8_CULTURAL_PARK
P08,D2019_E03_FS_TRAM_GM1,2019-12-30T00:00:00+08:00,line_section activation,Foshan Gaoming Tram demonstration line,FS_TRAM_GM1,,single official activation,https://crrcgc.cc/crrcgc/2020-01/07/article_D42124F3812546CDB836432DA7692DA3.html | https://m.mp.oeeee.com/a/BAAFRD000020240805983136.html | https://pc.nfnews.com/9249/2981690.html,FS_TRAM_GM1_OPENING_CRRC | Southern Metropolis Daily verbatim republication of the operator notice | Nanfang Plus,post-outcome primary-source persistence attempt | core event evidence | provincial state-media institutional record,download failed | archived | archived replacement,event/date/topology provenance persistence | Verbatim operator notice for the Gaoming tram suspension from 2024-08-06 | line was in initial passenger operation from 2019-12-30,post-outcome provenance-persistence supplement; event/date/topology/results unchanged | opening_primary_plus_operator_suspension_notice_verbatim_republication | post-review institutional replacement; event/date/topology/results unchanged,archive_failed_download: Data/raw/transport/official_sources/d_event_source_supplement/fs_tram_gm1_opening_crrc.html; sha256=none | archived: Data/raw/transport/official_sources/d_date_scope/fs_tram_gm1_suspension_20240806_operator_notice_reprint.html; sha256=258cbb79ab8111d8f83db56916336e14bedc12252b920339a4c0a85b02c42771 | archived_postreview_replacement: Data/raw/transport/official_sources/d_event_source_gaoming_postreview_20260827/fs_tram_gm1_opening_nanfangplus.html; sha256=4a966215ea641ffb08cf07d04da3492cb25fc87d2d17fa6d286a70b745aea4d5,add FS_TRAM_GM1
P09,D2020_E01_GZ_TRAM_HP1_FIRST,2020-07-01T00:00:00+08:00,line_section activation,Huangpu Tram 1 first section,GZ_TRAM_HP1_FIRST,,single official activation,https://www.gz.gov.cn/zwfw/zxfw/content/post_6804331.html,GZ_TRAM_HP1_FIRST_GZGOV,post-outcome primary-source persistence attempt,archived,event/date/topology provenance persistence,post-outcome provenance-persistence supplement; event/date/topology/results unchanged,archived: Data/raw/transport/official_sources/d_event_source_supplement/gz_tram_hp1_first_gzgov.html; sha256=b88e8136eb23dcf805707b4dd295e92d12e5873bc2be785e37bb14198eadb189,add GZ_TRAM_HP1_FIRST
P10,D2020_E02_GZ_M8_NORTH,2020-11-26T14:00:00+08:00,line_section activation,Guangzhou Line 8 northern extension,GZ_M8_NORTH,,single official activation with pass-through station rules retained,https://gzw.gz.gov.cn/qy/qydt/content/post_6936246.html,Guangzhou SASAC / Guangzhou Metro,core event evidence,archived,Line 8 north section opening and two initially closed stations,official_operator_section_and_initial_station_status,archived: Data/raw/transport/official_sources/d_date_scope/gz_m8_north_20201126.html; sha256=18f32ca3c280aafbf6dfc24747a810a50fe630cefc286a734e3b83b116737ac9,add GZ_M8_NORTH
