event_id,year,event_label,pooled_population_denominator,equal_city_total_opportunity_contribution,pooled_population_total_opportunity_contribution,equal_city_cross_city_opportunity_contribution,pooled_population_cross_city_opportunity_contribution,equal_city_coverage_contribution,pooled_population_coverage_contribution
D2018_E01_GZ_M3_AIRPORT_NORTH,2018,Guangzhou Line 3 Airport North extension,38250058.61750648,0.0,0.0,0.0,0.0,0.0,0.0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,38250058.61750648,144.38089772270308,203.7347907157873,1.040408425121016,0.934777776726351,0.00015715778498527825,0.00022234890493726128
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,38250058.61750648,3522.2986828348658,4760.766019753428,522.3845734419848,516.4480103603175,0.0009482894456291777,0.001341652402513574
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,38250058.61750648,1499.5031110419122,2100.156587998437,40.9301446776213,36.54833675862131,0.00145610950484911,0.002060122913429112
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,38250058.61750648,16.94356984373663,23.971985866533768,0.0,0.0,0.0005865183199729207,0.0008298138471717292
D2019_E01_GZ_M21_WEST,2019,Guangzhou Line 21 western section,38250058.61750648,4340.052231412116,6097.887115481201,116.63214806019703,122.53673298946691,0.002742059449551875,0.0038795018391092873
D2019_E02_GZ_M8_CULTURAL_PARK,2019,Guangzhou Line 8 Cultural Park extension,38250058.61750648,1472.6605655318197,2012.434738615691,143.2354264215662,131.5465350505853,0.00017439493958943905,0.0002467362583911704
D2019_E03_FS_TRAM_GM1,2019,Foshan Gaoming Tram demonstration line,38250058.61750648,54.06562635992301,41.042633071695,0.0,0.0,0.0019690004671610085,0.0014947198272281404
D2020_E01_GZ_TRAM_HP1_FIRST,2020,Huangpu Tram 1 first section,38250058.61750648,272.4594138663504,385.17706458088304,0.513523676784184,0.4244359312556361,0.0004701497734965958,0.0006651740943234982
D2020_E02_GZ_M8_NORTH,2020,Guangzhou Line 8 northern extension,38250058.61750648,9727.818445167293,13469.070010655852,648.8613777282908,624.0419256228862,0.003953836255274401,0.0055939396304412
D2020_E03_LOCAL_INTERCITY,2020,Guangqing-Guangzhou East Ring through-running local intercity,38250058.61750648,107.06710822666923,151.47995545514462,0.0,0.0,0.00048708132951524375,0.0006891290828720001
D2020_E04_GZ_TRAM_HP1_FULL,2020,Huangpu Tram 1 completion to Xiangxue,38250058.61750648,303.3585633269533,427.05450965372626,3.769618912978428,3.1921236574019325,0.00023128590975950936,0.00032722635259374827
D2021_E01_FS_TRAM_NH1_FIRST,2021,Nanhai Tram 1 first section,38250058.61750648,3669.468062516069,3444.36816951465,2641.0118367765945,2663.6401109451704,0.0034304573782756227,0.0026041500473399063
D2021_E02_GZ_M18_FIRST,2021,Guangzhou Line 18 first section,38250058.61750648,2656.866562569395,3642.556936020167,213.98778014879204,186.33984682809876,0.0007652720367205505,0.0010827169609183632
D2021_E03_FS_M2_PHASE1,2021,Foshan Metro Line 2 phase 1,38250058.61750648,6583.151501196109,6079.999893562165,4396.463676205692,4323.441096758993,0.00636852855648132,0.004860150863901762
D2022_E01_GZ_M22_FIRST,2022,Guangzhou Line 22 first section,38250058.61750648,790.430269574661,1054.2824098846581,175.54348029996876,184.33247855657584,0.000581993797710689,0.0008234124934591801
D2022_E02_GZ_M7_WEST,2022,Guangzhou Line 7 western extension,38250058.61750648,3954.9260519156887,3769.922635327476,3375.0689779757213,3316.117255423661,0.0020322726504542546,0.0015427513988086128
D2022_E03_GZ_M8_RAINBOW,2022,Rainbow Bridge infill station activation,38250058.61750648,741.1668575691145,984.1708204399262,105.7532247052809,85.17924033643236,0.0,0.0
D2022_E04_FS_TRAM_NH1_FULL,2022,Nanhai Tram 1 completion,38250058.61750648,638.8733477088315,594.3908650952952,455.6616029719076,455.3100309326755,0.00033850581986087023,0.00025696863409468447
D2022_E05_FS_M3_FIRST,2022,Foshan Metro Line 3 first section,38250058.61750648,5363.172865178466,4620.510938098997,2427.6741222326327,2392.096954931758,0.008860728417280422,0.00672641102421326
D2022_E06_GZ_M8_XICUN,2022,Xicun station and Line 5 transfer activation,38250058.61750648,1270.6121729954264,1724.3426195357965,163.29727693937517,157.69891440948655,0.0,0.0
D2023_E01_GZ_M5_EAST,2023,Guangzhou Line 5 eastern extension,38250058.61750648,2262.8358918560275,3170.237881463675,61.18676643741315,55.31568948467077,0.0012677074941100342,0.001793569266215671
D2023_E02_GZ_M7_PHASE2,2023,Guangzhou Line 7 phase 2,38250058.61750648,2554.856544940516,3470.6893435677553,331.47853659531876,325.0248417204346,0.0009309202449175386,0.0013170782284869407
D2024_E01_FOUR_LINE_INTERCITY,2024,Four-line Greater Bay Area local intercity integration,38250058.61750648,1489.9171732766008,1518.1314683776636,370.485996772338,362.8567392369589,0.0037503405861292268,0.0033418898573334965
D2024_E02_GAOMING_SUSPENSION,2024,Gaoming Tram suspension,38250058.61750648,-54.065626359923016,-41.04263307169501,0.0,0.0,-0.00196900046716101,-0.0014947198272281413
D2024_E03_FS_M3_TWO_SECTIONS,2024,Foshan Metro Line 3 central and northern sections,38250058.61750648,4135.4541806393145,3690.725576958196,2495.2680402318397,2445.617317564687,0.004179042228536875,0.0031724204143151954
D2024_E04_GZ_M3_EAST,2024,Guangzhou Line 3 eastern extension,38250058.61750648,848.4210487509772,1151.7093289316906,110.94278460516553,108.31536366796429,0.00042933622212031584,0.0006074305440694233
D2024_E05_HZ1_TOWER_CLOSURE,2024,Haizhu Tram Tower station section closure,38250058.61750648,-126.99920570176941,-173.678750149808,-12.272591628395025,-11.362024899676841,0.0,0.0
D2024_E06_GZ_M11_SHAHE,2024,"Guangzhou Line 11 loop, Shahe activation and Line 21 topology reassignment",38250058.61750648,16642.008580109432,22776.127367472553,1786.3068503000113,1763.0693410762478,0.004677327239280941,0.00661754420746489
