event_id,year,event_label,total_nonzero_cells,total_positive_cells,total_negative_cells,total_nonzero_population_fraction,total_affected_cities,cross_city_nonzero_cells,cross_city_positive_cells,cross_city_negative_cells,cross_city_nonzero_population_fraction,cross_city_affected_cities,coverage_nonzero_cells,coverage_positive_cells,coverage_negative_cells,coverage_nonzero_population_fraction,coverage_affected_cities
D2018_E01_GZ_M3_AIRPORT_NORTH,2018,Guangzhou Line 3 Airport North extension,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,597,597,0,0.09539378183861791,2,13,13,0,0.0012682596378788206,2,4,4,0,0.00022234890493726128,1
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,890,890,0,0.11937929700060003,2,230,230,0,0.02261773713007154,2,7,7,0,0.001341652402513574,1
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,972,972,0,0.12148293475731345,2,109,109,0,0.010267698502018413,2,43,43,0,0.002060122913429111,1
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,141,141,0,0.0039015840712661306,1,0,0,0,0.0,0,30,30,0,0.0008298138471717292,1
D2019_E01_GZ_M21_WEST,2019,Guangzhou Line 21 western section,1062,1062,0,0.12542146064492563,2,142,142,0,0.013646404730117917,2,48,48,0,0.003879501839109288,1
D2019_E02_GZ_M8_CULTURAL_PARK,2019,Guangzhou Line 8 Cultural Park extension,971,971,0,0.12478124632920885,2,265,265,0,0.03399478158462096,2,1,1,0,0.0002467362583911704,1
D2019_E03_FS_TRAM_GM1,2019,Foshan Gaoming Tram demonstration line,46,46,0,0.0014947198272281404,1,0,0,0,0.0,0,46,46,0,0.0014947198272281404,1
D2020_E01_GZ_TRAM_HP1_FIRST,2020,Huangpu Tram 1 first section,811,811,0,0.10238381223262245,2,24,24,0,0.0016440886716391078,2,33,33,0,0.000665174094323498,1
D2020_E02_GZ_M8_NORTH,2020,Guangzhou Line 8 northern extension,996,996,0,0.12844384201798034,2,159,159,0,0.016614301724362235,2,46,46,0,0.005593939630441198,1
D2020_E03_LOCAL_INTERCITY,2020,Guangqing-Guangzhou East Ring through-running local intercity,379,379,0,0.06113802199645205,1,0,0,0,0.0,0,19,19,0,0.0006891290828720001,1
D2020_E04_GZ_TRAM_HP1_FULL,2020,Huangpu Tram 1 completion to Xiangxue,981,981,0,0.11988589058237842,2,34,34,0,0.0022914701221135275,2,15,15,0,0.00032722635259374827,1
D2021_E01_FS_TRAM_NH1_FIRST,2021,Nanhai Tram 1 first section,928,928,0,0.12743338627803635,2,735,735,0,0.11251480915082701,2,38,38,0,0.0026041500473399076,1
D2021_E02_GZ_M18_FIRST,2021,Guangzhou Line 18 first section,1156,1156,0,0.13711521886618075,2,258,258,0,0.02009111073485461,2,23,23,0,0.0010827169609183632,1
D2021_E03_FS_M2_PHASE1,2021,Foshan Metro Line 2 phase 1,1080,1080,0,0.13437463193245403,2,1080,1080,0,0.13437463193245403,2,86,86,0,0.0048601508639017615,2
D2022_E01_GZ_M22_FIRST,2022,Guangzhou Line 22 first section,1160,1160,0,0.13904259664763352,2,431,431,0,0.028142343787881743,2,12,12,0,0.0008234124934591798,1
