event_id,year,event_label,geography,cities,parent_1km_cells,population_weighted_total_opportunity_contribution,area_weighted_total_opportunity_contribution,population_weighted_cross_city_opportunity_contribution,area_weighted_cross_city_opportunity_contribution,population_weighted_coverage_contribution,area_weighted_coverage_contribution
D2018_E01_GZ_M3_AIRPORT_NORTH,2018,Guangzhou Line 3 Airport North extension,D_equal_city,3,11830,0.0,0.0,0.0,0.0,0.0,0.0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,D_equal_city,3,11830,149.45978964480472,34.647590358232144,0.6237891649849509,0.1232619193927989,0.0001673218916920445,5.1979963692357175e-05
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,D_equal_city,3,11830,3215.811557387748,346.5870038646056,502.3465598522669,85.12585931941955,0.0007741593866226106,6.46857814733469e-05
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,D_equal_city,3,11830,1529.2999909105765,334.1395298623943,32.488394655972364,6.324474311661812,0.0015502827103661598,0.0005587846096928396
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,D_equal_city,3,11830,18.039387349063635,16.143256886339937,0.0,0.0,0.0006244511197399605,0.0003898497276926788
D2019_E01_GZ_M21_WEST,2019,Guangzhou Line 21 western section,D_equal_city,3,11830,4489.59640873216,839.6214203905741,107.4534964723083,17.51673852387165,0.002919400870113082,0.0006237595643082861
D2019_E02_GZ_M8_CULTURAL_PARK,2019,Guangzhou Line 8 Cultural Park extension,D_equal_city,3,11830,1007.1134309028057,94.46543486223204,73.1285455600447,12.246063568383258,0.0,0.0
D2019_E03_FS_TRAM_GM1,2019,Foshan Gaoming Tram demonstration line,D_equal_city,3,11830,57.3493705974438,27.293977121570222,0.0,0.0,0.0020881886000752585,0.001045653318276979
D2020_E01_GZ_TRAM_HP1_FIRST,2020,Huangpu Tram 1 first section,D_equal_city,3,11830,280.9162371823248,171.98482292983735,0.17387821372161508,0.20407124044577377,0.0005005564916011365,0.00042883470046194665
D2020_E02_GZ_M8_NORTH,2020,Guangzhou Line 8 northern extension,D_equal_city,3,11830,9832.559707801505,1185.3567925852751,608.3694558358135,103.21964701610217,0.0041856340001108355,0.0005847745915390182
D2020_E03_LOCAL_INTERCITY,2020,Guangqing-Guangzhou East Ring through-running local intercity,D_equal_city,3,11830,113.05671928437424,37.421509464480856,0.0,0.0,0.0005185830881365572,0.0002469048275386966
D2020_E04_GZ_TRAM_HP1_FULL,2020,Huangpu Tram 1 completion to Xiangxue,D_equal_city,3,11830,308.4602185314486,132.37705942841012,1.834532790606005,0.6243735664773159,0.0002462442184859105,0.0001949248638463394
D2021_E01_FS_TRAM_NH1_FIRST,2021,Nanhai Tram 1 first section,D_equal_city,3,11830,3771.27771093422,770.4462143701477,2703.209532884624,525.7410569942539,0.0035933907273351215,0.0009175119305926469
D2021_E02_GZ_M18_FIRST,2021,Guangzhou Line 18 first section,D_equal_city,3,11830,2668.0597932387504,428.94953332377696,205.94905310736274,45.6070635667408,0.0008093657549164715,0.00028171689782010515
D2021_E03_FS_M2_PHASE1,2021,Foshan Metro Line 2 phase 1,D_equal_city,3,11830,6763.7206677329295,1710.7362413500794,4500.3090783483885,1148.7895946758258,0.006730442984791515,0.002094631425357715
D2022_E01_GZ_M22_FIRST,2022,Guangzhou Line 22 first section,D_equal_city,3,11830,817.1909474582108,184.0365627146505,182.60018721542872,48.66701266248538,0.0006196339761031351,0.00015593989107707157
D2022_E02_GZ_M7_WEST,2022,Guangzhou Line 7 western extension,D_equal_city,3,11830,4091.0371163712593,1219.7760115078645,3490.5358152547087,1006.5198123975093,0.002179117995812107,0.0009130989692797471
D2022_E03_GZ_M8_RAINBOW,2022,Rainbow Bridge infill station activation,D_equal_city,3,11830,728.6141990175366,86.87337437207135,102.8894803135746,23.205193647561995,0.0,0.0
D2022_E04_FS_TRAM_NH1_FULL,2022,Nanhai Tram 1 completion,D_equal_city,3,11830,656.3405975380824,299.73201877927494,464.7832654852882,209.54289344369295,0.00036530878309294716,0.0002804247519140059
D2022_E05_FS_M3_FIRST,2022,Foshan Metro Line 3 first section,D_equal_city,3,11830,5546.193958107074,1473.2437578462232,2466.4752211335735,602.0073225854155,0.00932760992366985,0.002798033081560941
D2022_E06_GZ_M8_XICUN,2022,Xicun station and Line 5 transfer activation,D_equal_city,3,11830,1283.4846717004916,142.01479621463648,152.58187452643003,24.838464292571242,0.0,0.0
D2023_E01_GZ_M5_EAST,2023,Guangzhou Line 5 eastern extension,D_equal_city,3,11830,2085.724908712482,359.5676609339476,49.39575747462481,14.08666492134727,0.0010542921039237035,0.00022091484569251797
D2023_E02_GZ_M7_PHASE2,2023,Guangzhou Line 7 phase 2,D_equal_city,3,11830,2422.808460566111,772.6872357129904,321.2840619294262,114.77920584549041,0.0008255661095827996,0.00044111013750730723
D2024_E01_FOUR_LINE_INTERCITY,2024,Four-line Greater Bay Area local intercity integration,D_equal_city,3,11830,1536.4417357746963,683.9352505090361,374.42993555342963,170.7311257225385,0.0038822910079268046,0.0029635497858012845
