event_id,year,event_label,geography,cities,population_weighted_total_opportunity_contribution,area_weighted_total_opportunity_contribution,population_weighted_cross_city_opportunity_contribution,area_weighted_cross_city_opportunity_contribution,population_weighted_coverage_contribution,area_weighted_coverage_contribution,population_weighted_total_contribution_uncovered,population_weighted_total_contribution_covered
D2018_E01_GZ_M3_AIRPORT_NORTH,2018,Guangzhou Line 3 Airport North extension,D_equal_city,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,D_equal_city,3,179.7372922363545,42.40482235095446,1.6763496966430373,0.3455728580460931,0.00016594568459087815,6.173702018725772e-05,101.478621765358,451.8039214302966
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,D_equal_city,3,3531.2707891462046,394.8931563397582,595.2173878191052,100.13234096692156,0.00082327988370828,7.380966161476094e-05,1507.258352273444,18647.633883998245
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,D_equal_city,3,1417.4499851885646,300.88736344347365,39.33370590255108,7.296861326731883,0.0014687444634722453,0.0005309383736104164,845.9828978849141,3830.047991649588
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,D_equal_city,3,18.983165614155737,16.863599629512944,0.0,0.0,0.0006231249746180949,0.00037042212112354633,18.58556918596614,20.241965142700526
D2019_E01_GZ_M21_WEST,2019,Guangzhou Line 21 western section,D_equal_city,3,4763.4151311661435,869.2126278697483,141.37878400299692,22.75826137478278,0.00288486183259171,0.0006172852820538749,3955.9740547141996,8806.608507576428
D2019_E02_GZ_M8_CULTURAL_PARK,2019,Guangzhou Line 8 Cultural Park extension,D_equal_city,3,933.1546438637338,87.43726470898592,107.5433401181445,15.119816569118074,0.0,0.0,0.5536032594340498,5374.337512892226
D2019_E03_FS_TRAM_GM1,2019,Foshan Gaoming Tram demonstration line,D_equal_city,3,54.20191682672524,26.807857478874066,0.0,0.0,0.002038517321965338,0.0010421404821861523,56.46283548884156,0.0
D2020_E01_GZ_TRAM_HP1_FIRST,2020,Huangpu Tram 1 first section,D_equal_city,3,272.67864316278906,169.7396358943279,0.5399280610282552,0.4384768820443594,0.0004904540185514077,0.00043215914131080403,189.1161037292559,520.4010774224158
D2020_E02_GZ_M8_NORTH,2020,Guangzhou Line 8 northern extension,D_equal_city,3,9731.947801110511,1164.7287580957536,626.4953772555293,101.36757160852564,0.004092623301320074,0.0005547476643403987,7036.622844810325,24565.887481558417
D2020_E03_LOCAL_INTERCITY,2020,Guangqing-Guangzhou East Ring through-running local intercity,D_equal_city,3,102.40220512892233,34.534135250136224,0.0,0.0,0.0005773433008782783,0.00025929548478648243,75.44638726662835,179.95265563881344
D2020_E04_GZ_TRAM_HP1_FULL,2020,Huangpu Tram 1 completion to Xiangxue,D_equal_city,3,312.6744513467219,122.65700311990764,3.688194758136149,1.047011276821439,0.000247925855146766,0.00017286365652432163,194.4589509923919,701.4406716011298
D2021_E01_FS_TRAM_NH1_FIRST,2021,Nanhai Tram 1 first section,D_equal_city,3,3818.679238181172,770.6935716258904,2778.4053522095187,536.4001418966477,0.0036256378170468045,0.0009026229837723951,2568.7209522760295,12190.775063878791
D2021_E02_GZ_M18_FIRST,2021,Guangzhou Line 18 first section,D_equal_city,3,1568.3074696478886,267.8806217019415,104.92632383306545,22.344398122678015,0.0006707154081909875,0.00023460067671157933,1029.1583399093631,3917.501824253172
